iter	MultiClass
0	2.49275821
1	2.312302974
2	2.153046113
3	2.070781711
4	1.964780256
5	1.910453016
6	1.844331275
7	1.784947128
8	1.746617321
9	1.691362945
10	1.63501672
11	1.593436592
12	1.558475819
13	1.529700734
14	1.507480456
15	1.485079016
16	1.461202693
17	1.429132792
18	1.404702565
19	1.377527859
20	1.351786528
21	1.323215587
22	1.301437197
23	1.291887542
24	1.274902862
25	1.259614429
26	1.248270103
27	1.235417938
28	1.22671244
29	1.208785274
30	1.192244079
31	1.185396385
32	1.159533731
33	1.145686441
34	1.130324519
35	1.120984992
36	1.110825327
37	1.099379521
38	1.079652374
39	1.067717851
40	1.058917255
41	1.045780511
42	1.034514223
43	1.027792651
44	1.016556015
45	1.004408559
46	0.9904732673
47	0.9802794841
48	0.9673618764
49	0.9596804971
50	0.9514357931
51	0.9398690623
52	0.9321912271
53	0.9242762827
54	0.9135708876
55	0.9072794025
56	0.8986901369
57	0.8933923325
58	0.8885946428
59	0.8830883313
60	0.8804775258
61	0.8768702249
62	0.8673780799
63	0.8630029806
64	0.8537849781
65	0.8466629775
66	0.8395244493
67	0.8366179897
68	0.8311809032
69	0.8273230487
70	0.8234524274
71	0.8195896405
72	0.8149102206
73	0.8047346571
74	0.7998386991
75	0.7945668436
76	0.7904037271
77	0.7855504368
78	0.7822070673
79	0.7778859832
80	0.7741591538
81	0.7709345731
82	0.7670811284
83	0.7645190081
84	0.758102405
85	0.7562615512
86	0.753194251
87	0.7508407012
88	0.7465828979
89	0.7431187769
90	0.7394275855
91	0.7361512579
92	0.7335901119
93	0.7282745621
94	0.7214499074
95	0.7190079761
96	0.7151931406
97	0.7122246542
98	0.7100127239
99	0.7072019356
100	0.704125754
101	0.7010358092
102	0.6995998004
103	0.6968903028
104	0.6943210775
105	0.6918196262
106	0.6902746719
107	0.6879814598
108	0.6842497211
109	0.6821838212
110	0.6800580876
111	0.6776241049
112	0.6758465411
113	0.6716464576
114	0.6697991129
115	0.6682500768
116	0.6656074118
117	0.6640164534
118	0.6623165591
119	0.6602178767
120	0.6576671013
121	0.6555538853
122	0.6542203667
123	0.6523078319
124	0.6506110389
125	0.6496786104
126	0.6464647128
127	0.6452067896
128	0.6415907017
129	0.6404256433
130	0.6381375494
131	0.6368806876
132	0.633454856
133	0.6303868305
134	0.6292768116
135	0.6276617798
136	0.6254481746
137	0.6240327054
138	0.6228417135
139	0.6206262495
140	0.618716609
141	0.6155294357
142	0.6129768222
143	0.611374149
144	0.6101245708
145	0.6091241234
146	0.6071530339
147	0.6055328271
148	0.6038199731
149	0.6020745333
150	0.6011111243
151	0.5976870938
152	0.5957014806
153	0.5937700744
154	0.5914789023
155	0.5900432658
156	0.5887263786
157	0.5866911691
158	0.5848252315
159	0.5827885915
160	0.5811400637
161	0.5794187265
162	0.5780356836
163	0.5765530618
164	0.5742652481
165	0.5728375117
166	0.5704945512
167	0.569132315
168	0.5677397415
169	0.5666848825
170	0.565636044
171	0.5648070949
172	0.5632399315
173	0.5609892315
174	0.5600518749
175	0.5582764937
176	0.5567128549
177	0.5548044054
178	0.5535544876
179	0.5524586338
180	0.5513343096
181	0.5503041099
182	0.5488737739
183	0.5472444537
184	0.5457326773
185	0.544470914
186	0.542953014
187	0.5422407154
188	0.5400618001
189	0.5391506839
190	0.5374522466
191	0.536582967
192	0.5355254904
193	0.5338594031
194	0.5326564112
195	0.5313788589
196	0.5295970746
197	0.5287174051
198	0.5282766996
199	0.5271050846
200	0.5259554757
201	0.5247266941
202	0.523523947
203	0.5224322221
204	0.5207326783
205	0.5193848884
206	0.5181583495
207	0.517166167
208	0.5160079079
209	0.5153883761
210	0.5145486225
211	0.5132391521
212	0.5121909686
213	0.5110097372
214	0.5099949592
215	0.5093847924
216	0.5086703857
217	0.5072965794
218	0.5056980731
219	0.5051834153
220	0.5040830042
221	0.5026319834
222	0.5020499553
223	0.5009134053
224	0.50001256
225	0.4991581192
226	0.4980398525
227	0.4967235716
228	0.4956438364
229	0.4949436203
230	0.4940402798
231	0.4932607283
232	0.491980348
233	0.4906427305
234	0.4902938152
235	0.4894305628
236	0.4885346413
237	0.4873353028
238	0.4863285442
239	0.4849088336
240	0.4841966673
241	0.4838938318
242	0.4831075476
243	0.4823867479
244	0.4813440733
245	0.4807365185
246	0.4802863461
247	0.4798815525
248	0.4790267605
249	0.4782511948
250	0.4780081613
251	0.4770273732
252	0.4755981357
253	0.4751824557
254	0.4740800595
255	0.4733924196
256	0.4723295071
257	0.471341967
258	0.4704139354
259	0.469597065
260	0.4688416478
261	0.4680871044
262	0.4674737854
263	0.4665524665
264	0.4656583217
265	0.4650180215
266	0.4644965017
267	0.4638935796
268	0.4624110854
269	0.4618976369
270	0.4616369851
271	0.4608764636
272	0.4603056253
273	0.4601049669
274	0.4595520312
275	0.4587209068
276	0.4577588453
277	0.4574698951
278	0.4567700484
279	0.4561978419
280	0.455164458
281	0.4546082264
282	0.4537132624
283	0.4531335378
284	0.4524348949
285	0.4517397059
286	0.4508656035
287	0.449862927
288	0.4491193847
289	0.4480298629
290	0.4470776013
291	0.4464209688
292	0.4460420124
293	0.4450200335
294	0.4444771021
295	0.4437679948
296	0.4429338391
297	0.4424774016
298	0.4418965266
299	0.4411808947
